Institute,Model,Var,Freq,R,RMSE,RI,AE,AAE,MEF,STDobs,STDmod,cRMSE,Rb
MPI-M,COSMOS,SALT,yr,0.9042,0.6546,1.0208,-0.1917,0.3998,0.7699,1.3646,1.4622,0.6259,-0.0055
UBERN,CCSM3,SALT,yr,0.7060,1.3807,1.0449,-0.7133,0.9134,-0.0267,1.3626,1.6449,1.1822,-0.0206
UBERN,CSM1-4,SALT,yr,0.7708,1.1149,1.0353,-0.6419,0.8065,0.3310,1.3631,1.3279,0.9116,-0.0185
BCCR,BCM-C,MLDtmin,yr,0.2275,24.5440,4.3775,-21.7339,21.8337,-3.4205,11.6737,3.5614,11.4038,-0.7585
BCCR,BCM-C,MLDdmin,yr,0.3835,17.6878,2.5043,-13.4865,13.6120,-1.0383,12.3892,4.5297,11.4443,-0.5744
BCCR,BCM-C,MLDdtmin,yr,0.4240,17.1080,2.2959,-13.4515,13.6290,-1.1564,11.6503,5.5827,10.5707,-0.5216
BCCR,BCM-C,MLDtmax,yr,0.5766,56.6523,1.7093,-15.5724,37.3640,0.1870,62.8322,54.4366,54.4700,-0.1425
BCCR,BCM-C,MLDdmax,yr,0.6092,67.7193,1.5928,-5.2099,39.0861,0.3086,81.4438,69.3035,67.5186,-0.0476
BCCR,BCM-C,MLDdtmax,yr,0.6405,58.7578,1.5779,-5.5473,37.4659,0.3785,74.5299,59.8215,58.4954,-0.0498
BCCR,BCM-C,BLTmin,yr,0.1633,66.6013,15.0098,-19.5305,26.9986,-19.4884,14.7139,64.3996,63.6731,3.5821
BCCR,BCM-C,BLTmax,yr,0.1647,262.6985,12.6817,-25.3126,92.3743,-2.1714,147.5125,241.5511,261.4760,-0.3883
BCCR,BCM-C,BLTpmax,yr,0.0556,539.4186,13.1707,58.2609,291.7180,-4.7071,225.7970,499.1157,536.2629,0.3161
BCCR,BCM-C,BLTmmin,yr,0.3355,32.3159,7.5971,-20.0552,23.9956,-2.1133,18.3149,24.7027,25.3398,1.4245
BCCR,BCM-C,TTDmin,yr,-0.0111,64.6257,4.5065,-19.3660,24.8281,-22.4536,13.3444,60.0467,61.6556,-0.6715
BCCR,BCM-C,TTDmax,yr,0.2011,271.1790,2.2036,-26.6705,105.4176,-1.5468,169.9253,246.5790,269.8641,-0.1662
IFM,UVIC2-8,MLDtmin,yr,0.1220,15.6395,1.7216,-10.4681,11.4566,-0.7946,11.6744,2.2908,11.6196,-0.3651
IFM,UVIC2-8,MLDdmin,yr,0.3019,12.3855,1.5056,-3.4119,7.8040,0.0010,12.3914,2.2553,11.9063,-0.1453
IFM,UVIC2-8,MLDdtmin,yr,0.2323,12.2396,1.5084,-4.5890,8.4154,-0.1035,11.6516,2.1461,11.3467,-0.1779
IFM,UVIC2-8,MLDtmax,yr,0.4921,84.7759,2.7712,-50.5079,63.1681,-0.8204,62.8332,71.4636,68.0875,-0.4619
IFM,UVIC2-8,MLDdmax,yr,0.6516,77.8334,1.9761,-21.3271,47.6462,0.0871,81.4599,95.3222,74.8545,-0.1946
IFM,UVIC2-8,MLDdtmax,yr,0.6597,73.1059,2.0068,-24.1112,47.3625,0.0383,74.5473,89.4899,69.0154,-0.2162
IFM,UVIC2-8,BLTmin,yr,0.5663,65.9290,19.6298,-41.4064,42.5039,-19.0931,14.7080,58.1801,51.3044,7.5580
IFM,UVIC2-8,BLTmax,yr,0.5015,341.7443,7.6317,24.0662,101.6313,-4.3756,147.3966,390.0719,340.8958,0.3697
IFM,UVIC2-8,BLTpmax,yr,0.4304,621.2692,6.0849,147.9744,270.2531,-7.2775,215.9384,663.9870,603.3895,0.9896
IFM,UVIC2-8,BLTmmin,yr,0.5126,81.6602,12.0296,-58.4768,59.7223,-18.8891,18.3106,64.1743,56.9986,4.1537
IFM,UVIC2-8,TTDmin,yr,0.0184,18.4198,1.7758,-10.5320,12.2246,-0.9056,13.3433,7.3432,15.1118,-0.3654
IFM,UVIC2-8,TTDmax,yr,0.5005,344.4091,3.1957,-17.4776,138.7650,-3.1104,169.8757,395.9625,343.9653,-0.1089
IPSL,IPSL-CM4,MLDtmin,yr,0.4511,21.4377,3.1599,-18.7310,18.7381,-2.3718,11.6747,4.8606,10.4272,-0.6536
IPSL,IPSL-CM4,MLDdmin,yr,0.4288,13.2443,1.7009,-6.8078,8.7128,-0.1428,12.3891,7.2601,11.3607,-0.2900
IPSL,IPSL-CM4,MLDdtmin,yr,0.4270,12.9705,1.7184,-6.6427,8.9808,-0.2394,11.6504,8.5979,11.1404,-0.2576
IPSL,IPSL-CM4,MLDtmax,yr,0.3454,77.8441,2.1539,-37.8875,52.7380,-0.5350,62.8311,55.5772,68.0018,-0.3467
IPSL,IPSL-CM4,MLDdmax,yr,0.4069,113.1367,1.9099,-8.0216,57.1233,-0.9297,81.4430,117.9962,112.8520,-0.0733
IPSL,IPSL-CM4,MLDdtmax,yr,0.4156,100.3888,1.9786,-12.1437,55.2515,-0.8143,74.5308,104.0186,99.6516,-0.1089
IPSL,IPSL-CM4,BLTmin,yr,0.3929,80.3990,18.7639,-41.4205,45.4817,-28.8468,14.7164,73.3486,68.9082,7.5321
IPSL,IPSL-CM4,BLTmax,yr,0.3780,328.0301,7.4412,73.9873,131.6970,-3.9589,147.3062,344.7000,319.5771,1.1416
IPSL,IPSL-CM4,BLTpmax,yr,0.3647,373.6461,6.5752,105.6046,163.0849,-4.4605,159.8981,384.3475,358.4119,1.3649
IPSL,IPSL-CM4,BLTmmin,yr,0.3271,103.8744,11.6106,-63.6182,67.7763,-31.1780,18.3117,86.2596,82.1135,4.5191
IPSL,IPSL-CM4,TTDmin,yr,0.0580,34.9188,3.0470,-16.7708,18.7714,-5.8417,13.3498,28.3503,30.6278,-0.5808
IPSL,IPSL-CM4,TTDmax,yr,0.4769,307.8868,2.2739,46.3740,134.1164,-2.2868,169.8268,346.2531,304.3744,0.2891
MPI-M,COSMOS,MLDtmin,yr,0.5305,24.2312,3.9204,-21.5347,21.5347,-3.3055,11.6779,1.1535,11.1090,-0.7516
MPI-M,COSMOS,MLDdmin,yr,0.6904,15.7456,2.1634,-12.3092,12.3528,-0.6154,12.3885,4.5423,9.8187,-0.5243
MPI-M,COSMOS,MLDdtmin,yr,0.5132,15.9280,2.1170,-12.3975,12.6425,-0.8692,11.6504,6.1007,10.0002,-0.4808
MPI-M,COSMOS,MLDtmax,yr,0.3917,75.0594,2.2181,-47.1863,51.1576,-0.4271,62.8307,32.6897,58.3727,-0.4318
MPI-M,COSMOS,MLDdmax,yr,0.3854,91.6468,2.0196,-50.6696,53.4472,-0.2663,81.4427,17.8195,76.3657,-0.4627
MPI-M,COSMOS,MLDdtmax,yr,0.3460,87.3025,2.0480,-51.5410,53.3477,-0.3722,74.5277,17.0827,70.4645,-0.4624
MPI-M,COSMOS,BLTmin,yr,0.0628,32.0130,14.9670,-20.5246,24.8115,-3.7476,14.6923,20.6343,24.5677,3.7080
MPI-M,COSMOS,BLTmax,yr,0.5952,417.2511,7.5365,97.0458,150.6604,-6.9926,147.5884,475.9376,405.8085,1.4909
MPI-M,COSMOS,BLTpmax,yr,0.5800,503.6967,6.5465,166.4290,214.1176,-7.9720,168.1606,552.7830,475.4070,1.9620
MPI-M,COSMOS,BLTmmin,yr,-0.1015,26.7428,7.9103,-15.5492,22.6191,-1.1348,18.3032,10.0518,21.7577,1.1052
MPI-M,COSMOS,TTDmin,yr,0.0336,28.9382,3.8762,-21.0295,21.9098,-3.6958,13.3541,15.1816,19.8791,-0.7289
MPI-M,COSMOS,TTDmax,yr,0.7028,499.6042,2.4351,167.1363,222.0778,-7.6386,169.9822,574.4948,470.8181,1.0402
UBERN,CCSM3,MLDtmin,yr,0.3670,23.4911,5.7294,-20.6930,20.7149,-3.0490,11.6743,6.6722,11.1190,-0.7220
UBERN,CCSM3,MLDdmin,yr,0.5339,11.3711,1.4873,-4.3674,6.9651,0.1576,12.3891,7.3139,10.4990,-0.1860
UBERN,CCSM3,MLDdtmin,yr,0.4935,11.6232,1.5315,-5.2634,7.7644,0.0045,11.6494,7.9273,10.3632,-0.2041
UBERN,CCSM3,MLDtmax,yr,0.5822,62.3038,1.7981,-35.0127,43.8406,0.0166,62.8274,43.4172,51.5352,-0.3203
UBERN,CCSM3,MLDdmax,yr,0.4853,76.6844,1.6579,-15.3040,40.9969,0.1135,81.4468,63.4983,75.1417,-0.1397
UBERN,CCSM3,MLDdtmax,yr,0.4897,71.0784,1.6950,-17.1457,41.6493,0.0904,74.5250,59.6463,68.9794,-0.1538
UBERN,CCSM3,BLTmin,yr,0.3661,52.3846,18.1318,-35.2188,37.0835,-11.5866,14.7655,41.6688,38.7786,6.6336
UBERN,CCSM3,BLTmax,yr,0.5056,468.9591,8.9704,99.3248,163.8646,-9.1399,147.2716,514.8156,458.3200,1.5192
UBERN,CCSM3,BLTpmax,yr,0.4885,662.2236,8.2581,218.7323,281.6248,-13.4828,174.0116,691.3372,625.0569,2.4213
UBERN,CCSM3,BLTmmin,yr,0.1520,69.4739,10.9373,-48.1434,52.0208,-13.3993,18.3084,49.4889,50.0882,3.4184
UBERN,CCSM3,TTDmin,yr,0.2292,20.0596,2.5082,-15.1615,15.3527,-1.2703,13.3131,5.1930,13.1346,-0.5260
UBERN,CCSM3,TTDmax,yr,0.5223,460.2373,2.6185,74.2711,177.7967,-6.3563,169.6884,519.1582,454.2049,0.4638
UBERN,CSM1-4,MLDtmin,yr,0.2691,24.7025,4.1767,-21.9178,21.9178,-3.4792,11.6719,1.2824,11.3940,-0.7645
UBERN,CSM1-4,MLDdmin,yr,0.4422,18.5866,2.7853,-14.7925,14.9006,-1.2506,12.3893,3.7001,11.2535,-0.6298
UBERN,CSM1-4,MLDdtmin,yr,0.3576,19.3659,2.8237,-16.0202,16.1689,-1.7649,11.6466,4.4700,10.8808,-0.6208
UBERN,CSM1-4,MLDtmax,yr,0.5626,74.4807,2.5683,-51.8969,58.5895,-0.4067,62.7968,47.9235,53.4237,-0.4746
UBERN,CSM1-4,MLDdmax,yr,0.5190,79.6559,1.9342,-28.9109,47.7942,0.0434,81.4431,68.0137,74.2241,-0.2638
UBERN,CSM1-4,MLDdtmax,yr,0.5325,75.2588,1.9787,-29.1159,48.4419,-0.0195,74.5352,68.6082,69.3984,-0.2610
UBERN,CSM1-4,BLTmin,yr,0.3881,69.2834,21.0308,-45.0309,47.3122,-21.1746,14.7130,56.5884,52.6537,8.0031
UBERN,CSM1-4,BLTmax,yr,0.5258,548.0927,8.5604,149.3892,194.1931,-12.7725,147.6889,589.8174,527.3409,2.3094
UBERN,CSM1-4,BLTpmax,yr,0.5034,640.5972,7.4641,214.7131,260.0661,-14.0529,165.1107,669.5494,603.5420,2.6227
UBERN,CSM1-4,BLTmmin,yr,0.2779,86.9971,12.8861,-62.2275,64.1897,-22.1961,18.0633,63.2875,60.7968,4.4507
UBERN,CSM1-4,TTDmin,yr,0.0065,28.4049,4.1894,-21.5095,22.4718,-3.5238,13.3548,12.9648,18.5520,-0.7427
UBERN,CSM1-4,TTDmax,yr,0.5593,527.7291,2.8971,110.3022,208.9348,-8.6102,170.2330,591.6170,516.0730,0.6858
BCCR,BCM-C,NO3,yr,0.8644,6.1128,3.4333,-2.8363,3.4780,0.4399,8.1676,3.5306,5.4150,-0.5400
IFM,UVIC2-8,NO3,yr,0.9430,2.7846,2.7834,-0.2101,1.5671,0.8839,8.1710,8.2702,2.7766,-0.0400
IPSL,IPSL-CM4,NO3,yr,0.8898,4.0182,51.5349,-1.3320,2.2954,0.7580,8.1681,6.5812,3.7910,-0.2536
MPI-M,COSMOS,NO3,yr,0.7209,11.7866,21.5003,10.3391,10.5030,-1.0831,8.1665,5.9033,5.6593,1.9693
UBERN,CCSM3,NO3,yr,0.8956,5.1592,8.0984,2.7594,3.7132,0.6011,8.1684,9.7223,4.3592,0.5253
BCCR,BCM-C,PO4,yr,0.8627,0.5202,5.0407,-0.3696,0.3721,0.0727,0.5402,0.2224,0.3661,-0.6924
IFM,UVIC2-8,PO4,yr,0.9186,0.2400,2.2513,-0.0455,0.1657,0.8029,0.5405,0.5960,0.2356,-0.0852
IPSL,IPSL-CM4,PO4,yr,0.8710,0.2721,1.8089,-0.0310,0.1913,0.7464,0.5402,0.4195,0.2703,-0.0581
MPI-M,COSMOS,PO4,yr,0.7780,0.5780,3.5020,0.4662,0.5045,-0.1450,0.5402,0.3801,0.3418,0.8734
UBERN,CCSM3,PO4,yr,0.8460,0.4431,3.4180,0.2365,0.3595,0.3273,0.5403,0.6968,0.3748,0.4430
UBERN,CSM1-4,PO4,yr,0.7367,0.5866,3.1147,0.4049,0.4645,-0.1791,0.5402,0.6141,0.4245,0.7585
IPSL,IPSL-CM4,SI,yr,0.5787,11.4460,2.9883,1.9126,6.7546,0.2618,13.3221,10.7618,11.2851,0.2529
UBERN,CCSM3,SI,yr,0.6893,19.0822,4.5089,6.4816,10.2528,-1.0522,13.3203,24.3143,17.9477,0.8574
BCCR,BCM-C,O2,yr,0.9848,11.2868,1.0401,-6.2160,8.0587,0.9531,52.1059,48.6509,9.4210,-0.0248
IFM,UVIC2-8,O2,yr,0.9799,10.9071,1.0388,-3.2260,7.3575,0.9562,52.1020,50.2464,10.4191,-0.0129
IPSL,IPSL-CM4,O2,yr,0.9775,15.1951,1.0571,10.0109,11.5153,0.9149,52.0800,54.1050,11.4312,0.0400
MPI-M,COSMOS,O2,yr,0.9830,10.6203,1.0397,-1.8736,7.7580,0.9585,52.1143,55.4090,10.4537,-0.0075
UBERN,CCSM3,O2,yr,0.9775,12.7409,1.0456,5.4530,8.4042,0.9402,52.1042,54.3650,11.5150,0.0218
UBERN,CSM1-4,O2,yr,0.9827,9.9169,1.0361,-1.6614,7.1019,0.9638,52.1115,52.6907,9.7767,-0.0066
BCCR,BCM-C,DIC,yr,0.8548,42.8947,1.0214,-20.4436,34.6188,0.6255,70.0923,49.9802,37.7096,-0.0101
IFM,UVIC2-8,DIC,yr,0.9216,32.8236,1.0163,13.5561,26.1958,0.7808,70.1025,76.9688,29.8935,0.0067
IPSL,IPSL-CM4,DIC,yr,0.8356,68.4712,1.0344,56.6035,60.2275,0.0457,70.0934,57.3582,38.5272,0.0281
MPI-M,COSMOS,DIC,yr,0.8494,42.3907,1.0216,-20.3039,30.9725,0.6342,70.0913,63.5953,37.2119,-0.0101
UBERN,CCSM3,DIC,yr,0.7780,59.6406,1.0305,27.8416,47.2004,0.2761,70.0960,83.5686,52.7432,0.0138
UBERN,CSM1-4,DIC,yr,0.8609,40.6199,1.0207,9.2115,31.3362,0.6643,70.1025,77.4583,39.5617,0.0046
BCCR,BCM-C,TALK,yr,0.6789,59.8345,1.0266,-44.7127,49.3819,-0.4319,50.0025,49.2133,39.7610,-0.0194
IFM,UVIC2-8,TALK,yr,0.8149,29.5145,1.0129,-5.3322,23.0616,0.6515,49.9991,39.0796,29.0288,-0.0023
IPSL,IPSL-CM4,TALK,yr,0.6422,76.6040,1.0332,53.6864,61.8231,-1.3472,50.0010,71.0572,54.6438,0.0233
MPI-M,COSMOS,TALK,yr,0.7035,65.6610,1.0296,-49.3866,52.7655,-0.7243,50.0039,59.8599,43.2706,-0.0214
UBERN,CCSM3,TALK,yr,0.5364,60.4310,1.0271,1.7340,42.3560,-0.4604,50.0070,70.0440,60.4061,0.0008
UBERN,CSM1-4,TALK,yr,0.6966,47.3299,1.0213,-13.1502,31.3484,0.1042,50.0070,62.7670,45.4664,-0.0057
BCCR,BCM-C,pH,yr,0.5510,0.0534,1.0066,-0.0372,0.0413,-0.3576,0.0459,0.0232,0.0383,-0.0046
IFM,UVIC2-8,pH,yr,0.2685,0.0509,1.0063,-0.0231,0.0332,-0.2358,0.0458,0.0229,0.0454,-0.0028
IPSL,IPSL-CM4,pH,yr,0.2607,0.0479,1.0059,-0.0044,0.0328,-0.0910,0.0459,0.0297,0.0477,-0.0005
MPI-M,COSMOS,pH,yr,0.2620,0.0653,1.0081,-0.0470,0.0495,-1.0267,0.0459,0.0219,0.0454,-0.0058
UBERN,CCSM3,pH,yr,0.2428,0.0490,1.0060,-0.0116,0.0328,-0.1443,0.0458,0.0282,0.0476,-0.0014
UBERN,CSM1-4,pH,yr,0.3202,0.0521,1.0064,-0.0258,0.0358,-0.2935,0.0458,0.0276,0.0453,-0.0032
BCCR,BCM-C,CO3,yr,0.9354,23.3231,1.1286,-15.1825,18.9619,0.7648,48.0925,40.0746,17.7048,-0.0744
IFM,UVIC2-8,CO3,yr,0.9499,19.8656,1.1210,-12.9002,15.5469,0.8294,48.0929,47.1911,15.1072,-0.0632
IPSL,IPSL-CM4,CO3,yr,0.9372,22.8616,1.1455,-1.2313,17.9058,0.7740,48.0925,60.5503,22.8284,-0.0060
MPI-M,COSMOS,CO3,yr,0.9572,25.9354,1.1787,-21.1115,21.7906,0.7092,48.0925,51.8135,15.0647,-0.1034
UBERN,CCSM3,CO3,yr,0.9348,25.7481,1.1830,-17.2664,19.5930,0.7134,48.0928,53.4981,19.1007,-0.0846
