Institute,Model,Var,Freq,R,RMSE,RI,AE,AAE,MEF,STDobs,STDmod,cRMSE,Rb
IPSL,IPSL-CM4,fgCO2,yr,0.7114,1.1218,3.3041,-0.3775,0.7925,-0.2070,1.0211,1.5017,1.0564,1.2047
MPI-M,COSMOS,fgCO2,yr,0.5633,1.0969,4.1455,-0.1958,0.8339,-0.1527,1.0217,1.2480,1.0793,0.6194
UBERN,CCSM3,fgCO2,yr,0.6127,1.2272,3.8877,-0.1052,0.9109,-0.4445,1.0211,1.5442,1.2227,0.3356
UBERN,CSM1-4,fgCO2,yr,0.6744,1.0586,3.4484,-0.1842,0.8032,-0.0748,1.0211,1.4084,1.0424,0.5877
BCCR,BCM-C,pCO2,yr,0.6132,30.9667,1.0883,23.4918,27.5180,-1.0801,21.4711,24.0952,20.1760,0.0656
IFM,UVIC2-8,pCO2,yr,0.5906,21.3661,1.0573,8.1328,15.2322,0.0199,21.5818,22.0769,19.7577,0.0227
IPSL,IPSL-CM4,pCO2,yr,0.6989,20.4033,1.0597,-2.4766,14.6430,0.1062,21.5818,28.1932,20.2524,-0.0069
UBERN,CCSM3,pCO2,yr,0.7084,20.7823,1.0582,1.8977,15.3177,0.0727,21.5818,29.2964,20.6955,0.0053
BCCR,BCM-C,PCO2surf,yr,0.5809,36.0571,1.1030,28.6974,32.2916,-1.8202,21.4711,25.5529,21.8305,0.0802
IFM,UVIC2-8,PCO2surf,yr,0.5324,32.3656,1.0889,19.0724,25.3928,-1.2490,21.5818,30.1976,26.1492,0.0533
MPI-M,COSMOS,PCO2surf,yr,0.6191,27.4229,1.0770,18.8915,23.0579,-0.6289,21.4868,23.8085,19.8778,0.0528
UBERN,CCSM3,PCO2surf,yr,0.7292,22.7149,1.0618,8.2240,16.5000,-0.1078,21.5818,30.9118,21.1739,0.0230
UBERN,CSM1-4,PCO2surf,yr,0.6723,31.7357,1.0875,21.4553,25.4419,-1.1623,21.5818,31.5857,23.3844,0.0600
